Rank,Type,User_ID,Score
1,PageRank,1486069441259397120,0.02307052693304692
2,PageRank,1221462414744596480,0.015199526774872187
3,PageRank,3315264553,0.01269909387138848
4,PageRank,32804484,0.009522900651527949
5,PageRank,878284831,0.009490448597632399
6,PageRank,1747663344469765888,0.007352544115140205
7,PageRank,399178595,0.007249191257170041
8,PageRank,1430497892314218496,0.006674437929836963
9,PageRank,1638262165269368832,0.006624279208957929
10,PageRank,15212187,0.005802113850849934
1,InDegree,1486069441259397120,379
2,InDegree,1221462414744596480,260
3,InDegree,3315264553,221
4,InDegree,878284831,176
5,InDegree,32804484,173
6,InDegree,1747663344469765888,110
7,InDegree,1638262165269368832,109
8,InDegree,15212187,99
9,InDegree,96015533,98
10,InDegree,1430497892314218496,98
